"Hospital","Department","Country","City","Title","Lead_Collaborator_Forename","Lead_Collaborator_Surname"
"Luton and Dunstable Hospital","Urology Department","United Kingdom","Luton","Dr","Muhammad","Salik"
"Fundação do ABC","Urology","Brazil","Santo André","Dr","Fernando","Korkes"
"Northern Devon Healthcare NHS trust","UROLOGY","United Kingdom","BARNSTAPLE","Mr","Mohammed Moshiur","Rahman"
"East Surrey Hospital","Department of Urology","United Kingdom","Redhill","Mr","James","Henderson"
"Sindh institute of urology and transplantation","Urology","Pakistan","Karaachi","Dr","Abdullah bangwar","Bangwar"
"Alzahraa university hospital","urology departement","Egypt","cairo","Dr","Eman","El-Dydamony"
"NYC H+H Queens Hospital Center","Urology","United States of America","Jamaica","Dr","Isuru","Jayaratna"
"Hopital Erasme","Service d'Urologie","Belgium","Bruxelles","Dr","Simone","Albisinni"
"West Tallinn Central Hospital","UROLOGY DEPARMENT","Estonia","Tallinn","Dr","Rauno","Okas"
"Muljibhai Patel Urology Hospital","Department of Urology","India","Nadiad","Dr","Aditya","Parikh"
"Portsmouth Hospitals University NHS Trust","Urology","United Kingdom","Portsmouth","Mr","Dominic","Hodgson"
"Sheffield Teaching Hospitals","Urology Department","United Kingdom","Sheffield","Miss","Eghoihunu","Ireo"
"Centro Hospitalar Vila Nova de Gaia/Espinho","Urologia","Portugal","Vila Nova de Gaia","Dr","Carolina","Marramaque"
"Victoria Hospital Kirkcaldy","Department of Urology","United Kingdom","Kirkcaldy","Mr","Matthew","Trail"
"INSTITUTO NACIONAL DEL CÁNCER","SERVICIO DE UROLOGÍA","Paraguay","AREGUÁ","Dr","CESAR","RECALDE LARA"
"RS Cipto Mangunkusumo","Departemen Urologi","Indonesia","Jakarta Pusat","Dr","Agus Rizal A.H.","Hamid"
"Craigavon Area Hospital","Urology","United Kingdom","Portadown","Miss","Maire","Mageean"
"Fatmawati Central General Hospital","Divisi Urologi SMF Bedah RSUP Fatmawati","Indonesia","Jakarta Selatan","Dr","Syamsu","Hudaya"
"Dr. Saiful Anwar General Hospital","Department of Urology, Medical Faculty, Universitas Brawijaya","Indonesia","Malang","Dr","Kurnia","Seputra"
"Dr. Sardjito Central General Hospital","Department Surgery, Division Urology","Indonesia","Yogyakarta","Dr","Danarto","Danarto"
"Hasan Sadikin Academic Medical Center","Urology","Indonesia","Bandung","Dr","Ferry","Safriadi"
"Royal Berkshire Hospital","Department of Urology","United Kingdom","Reading","Mr","Mudit","Matanhelia"
"Sanglah General Hospital","KSM Urologi (Urologic Department)","Indonesia","Denpasar","Dr","Anak Agung Gde Oka","-"
"Furness General Hospital","Urology","United Kingdom","Barrow-in-Furness","Mr","Mohammed","Saqib"
"Royal Lancaster Infirmary","Urology","United Kingdom","Barrow-in-Furness","Mr","Mohammed","Saqib"
"RSUD Kota Makassar","Bedah","Indonesia","Makassar","Dr","Abdul","Azis"
"Adam Malik General Hospital","Bedah Urologi","Indonesia","Medan","Dr","Ginanda","Siregar"
"Hospital CEMIC","Urology Department","Argentina","Ciudad Autonoma de Buenos Aires","Dr","Tomas","Richards"
