"Hospital","Department","Country","City","Title","Lead_Collaborator_Forename","Lead_Collaborator_Surname"
"University-Hospital Center of Tlemcen","Department of Urology","Algeria","Tlemcen","Mr","Salah Eddine","Kacimi"
"Altnagelvin Area Hospital","Urology","United Kingdom","Derry/Londonderry","Ms","Abigail","Nelson"
"Philippine General Hospital","Division of Urology, Department of Surgery","Philippines","Manila","Dr","Joel","Aldana"
"Urology and Nephrology Center","urology department","Egypt","Mansoura","Dr","Mostafa","Elgamal"
"Al-Mouwasat University Hospital","Urology Department","Syria","Almazzeh","Dr","Mohammad Eyad","Takahji"
"Tripoli University Hospital","Department of Urology","Libya","Tripoli","Dr","Ahmed","Msherghi"
"KHMC","General surgery","Jordan","Amman","Dr","AMRO","AMRO"
"Beni-Suef University Hospital","Urology Department","Egypt","Beni-Suef","Mr","Mohamed","Kharboush"
"Wrexham Maelor Hospital","Urology","United Kingdom","Wrexham","Miss","Corina","Lavelle"
"CHU Grenoble Alpes","Urology","France","Grenoble","Mr","Mehdi","Djouhri"
"University of Colorado Hospital","Department of Surgery-Division of Urology","United States of America","Aurora","Dr","Janet","Kukreja"
"Kaohsiung Ta-Tung Hospital","Department of Urology","Taiwan","Kaohsiung","Dr","Hsiang-Ying","Lee"
"Banner MD Anderson Cancer Center","surgical Oncology","United States of America","Gilbert","Dr","Chinedu","Mmeje"
"Southampton General Hospital","Urology department","United Kingdom","Southampton","Dr","Mriganka","Sinha"
"Queen Elizabeth Hospital Birmingham","Urology Department","United Kingdom","Birmingham","Mr","Prashant","Patel"
"Mustapha Pacha University Hospital","Urology department","Algeria","Algiers","Dr","Asma","Korti"
"El Khadra Hospital","Orthopeadics Department","Libya","Tripoli","Dr","Shoukrie","Shoukrie"
"Centro Hospitalar e Universitário de Lisboa Norte","Urology Department","Portugal","Lisboa","Dr","Afonso","Castro"
"Tobruk Medical centre","Surgery department","Libya","Tobruk","Mrs","Ahmad","Bouhuwaish"
"Kafrelsheikh University hospital","Urology Department","Egypt","Kafrelsheikh","Dr","Hussein","El-ansarey"
"University College Hospital","Westmorland Street Hospital","United Kingdom","London","Dr","Clio","Kennedy"
"Barts Health NHS Trust","Urology","United Kingdom","London","Dr","John-Daniel","Emehute"
"North Middlesex University Hospital","Urology","United Kingdom","London","Miss","Rachel","Oliver"
"North West Anglia NHS Foundation Trust","Department of Urology","United Kingdom","Peterborough","Mr","Nicholas","Boxall"
"Oxford University Hospitals Trust","Urology","United Kingdom","Oxford","Dr","Matthew","Byrne"
"Al Azhar university hospital, New Damietta.","Urology Department","Egypt","New Damietta","Dr","Mohamed","Marey Hassan"
"Lincoln County Hospital","Urology Department","United Kingdom","Lincoln","Mr","James","Akman"
"Al-Hilla Teaching Hospital","Surgery Department","Iraq","Babil","Dr","ALI","AL-ISAWI"
"TEST SITE","Department of Urology","United Kingdom","TEST","Dr","Kevin","Gallagher"
"Banha University Hospital","Urology","Egypt","Banha","Dr","Kareem","Noah"
"Asian Institute of Nephrology and Urology","Urology","India","Hyderabad","Dr","Rajesh","Reddy Adapala"
"Derriford Hospital","Urology Department","United Kingdom","Plymouth","Dr","Charles","Horn"
"Emory University Hospital","Department of Urology","United States of America","Atlanta","Dr","Vikram","Narayan"
"Al Hussein Teaching hospital","medicine collage","Iraq","nasseriah","Dr","Narges","Narges Ali kadhem"
"HOSPITAL UNIVERSITARIO DE GETAFE","UROLOGY","Spain","GETAFE","Prof","LUIS","LLANES GONZÁLEZ"
"Al-Sadder Medical City Teaching Hospital","Uorology department in Al-Sadder Medical City Teaching Hospital","Iraq","Al-Najaf","Dr","Maytham","Al-Juaifari"
"Tripoli Central Hospital","Urology","Libya","Tripoli","Dr","Eman","Abdulwahed"
"Omer Halis Demir University Nigde Research and Training Hospital","Urology","Turkey","Nigde","Dr","Taha","Uçar"
"Multidisciplinary Hospital in Warsaw-Miedzylesie, Warsaw","Department of Urology and Urological Oncology","Poland","Masovian Voivodeship","Dr","Rafal","Drobot"
"Northampton General Hospital","Urology","United Kingdom","Northampton","Mr","Zaid","Mera"
"San Raffaele","urology","Italy","Milano","Dr","Marco","Moschini"
"University Hospital 'Ospedali Riuniti'","Division of Urology Department of Clinical, Special and Dental Sciences","Italy","Ancona","Dr","Lucio","Dell'Atti"
"Aintree University Hospital","Urology","United Kingdom","Liverpool","Mr","Joachim","Jimie"
"Hospital Universitario Severo Ochoa","Urología","Spain","Leganés","Mr","Francisco","Donis Canet"
"Chelsea and Westminster Hospital","Urology","United Kingdom","London","Mr","Nimlan","Shanmugathas"
"All India Institute of Medical Sciences","Department of Urology","India","Jodhpur","Dr","Rahul","Jena"
"'Sapienza' Rome University, Policlinico Umberto I Hospital","Department of Maternal Infant and Urologic Sciences","Italy","Rome","Dr","Francesco","Del Giudice"
